Synthetic IEP Test Dataset Summary,,,
Metric,Formula/Value,,
Student Records,=COUNTA(Students!A2:A31),,
Goal Records,=COUNTA(Goals!A2:A121),,
Service Records,=COUNTA(Services!A2:A154),,
Accommodation Records,=COUNTA(Accommodations!A2:A247),,
Behavior Data Rows,=COUNTA(Behavior_Data!A2:A121),,
Transition Planning Required,"=COUNTIF(Students!P2:P31,""Yes"")",,
Assistive Technology Required,"=COUNTIF(Students!O2:O31,""Yes"")",,
,,,
Placement Summary,Count,,
Out-of-district day placement,"=COUNTIF(Students!J2:J31,A12)",,
Post-high school transition program,"=COUNTIF(Students!J2:J31,A13)",,
Residential special education placement,"=COUNTIF(Students!J2:J31,A14)",,
